SubjectArea,Subject,Band,Term,Definition
English,English,Years 11 and 12,Active listening,"Listening where students monitor and evaluate the text, with a focus on key elements for a deepened understanding."
English,English,Years 11 and 12,Aesthetic appeal,The appreciation of the artistic and pleasing qualities of a text.
English,English,Years 11 and 12,Audience,"The group of readers, listeners or viewers that the author, including a writer, film director, content developer or speaker, is addressing. The audience can be very specific and is situated in the context of the delivery of the text. Audience, real and implied, includes an individual, students in the classroom, and the wider community."
English,English,Years 11 and 12,Audio text,A spoken recording of a piece of writing; the part of a script or text that is to be spoken.
English,English,Years 11 and 12,Audio visual text,"A text that uses both sight and sound – typically in the form of images (still and/or moving) 
and recorded speech and/or music/soundscape."
English,English,Years 11 and 12,Author,"The composer or creator of a work or text that includes a writer, film director, content developer or speaker."
English,English,Years 11 and 12,Close reading,"Close reading requires the reader to make a deliberate attempt to detach from the story-telling and pay particular attention to the vocabulary, language features and text structures of a text. 
It focuses on significant details or patterns to develop a deep, precise understanding of the craft and meaning of the text."
English,English,Years 11 and 12,Cohesive writing,A unified text that exhibits a series of interconnected ideas that are presented in a clear and organised way.
English,English,Years 11 and 12,Context,"The environment in which a text is responded to or created. Context can include the social, historical and cultural conditions in which a text is responded to and created (the context of culture) or the specific features of its immediate environment (context of a situation)."
English,English,Years 11 and 12,Conventions,"An accepted practice that has developed over time and is generally used and understood; 
for example, the use of specific structural aspects of texts, such as in an essay with an introduction, body paragraphs and a conclusion."
English,English,Years 11 and 12,Cultural knowledge,"The diverse reserves of historical, linguistic, social and cultural understanding we hold across society."
English,English,Years 11 and 12,Digital text,"A text produced through digital or electronic technology, which may be interactive and include animations and/or hyperlinks. Examples of digital texts include DVDs, websites and e-literature."
English,English,Years 11 and 12,Draft,"Writing to test ideas, shape, vocabulary, text structures and language features – offering 
a sense of the main intentions of the work but not in a finished or completed form."
English,English,Years 11 and 12,Effective writing,"Clear, credible writing intentionally crafted with a strong purpose and a situated audience and for a specific context."
English,English,Years 11 and 12,Feedback,Advice or suggestions that provide guidance for next steps in any process (including writing).
English,English,Years 11 and 12,Framework of Ideas,Four broad ideas through which students engage with writing. Each idea includes elaborations (general advice and directions schools and teachers could use in the context of their communities and cohorts) and is aligned with four mentor texts (see List 2 of the VCAA VCE English and EAL Text List).
English,English,Years 11 and 12,Guided reading,Instructional practice or approach where a teacher or mentor supports a group of students to read a text effectively and independently.
English,English,Years 11 and 12,Idea,"A concept, understanding or thought."
English,English,Years 11 and 12,Inferential reading,Active reading that can infer or determine meaning not explicitly stated in the text.
English,English,Years 11 and 12,Issue,A subject or problem of public interest and with multiple viewpoints.
English,English,Years 11 and 12,Language features,"Authors make specific language choices in their work to support and create meaning in a text. These may include sentence structures, noun groups, phrases, vocabulary, punctuation, language patterns, figurative language, symbolism, colloquial language and personification. These choices vary according to the purpose of a text, its subject matter, audience, context and mode."
English,English,Years 11 and 12,Media,"Newspapers, magazines, radio, television and the internet as a group that provides information in different forms and for different audiences and purposes."
English,English,Years 11 and 12,Mentor texts,Texts to be read and re-read as models of effective and cohesive writing.
English,English,Years 11 and 12,Metalanguage,Vocabulary or terms used to describe and define language.
English,English,Years 11 and 12,Mode,"The various processes of communication – reading, writing, speaking, listening and viewing."
English,English,Years 11 and 12,Persuasive strategies,Language techniques used to persuade or influence a reader or viewer of an idea or position.
English,English,Years 11 and 12,Print,The written word in hardcopy.
English,English,Years 11 and 12,Purpose,"The purpose of a text is what the author sets out to achieve for the audience, when reading, listening to or viewing the text. When creating texts, the author always has at least one purpose. These include: to express, to explain, to reflect or to argue, and some texts may have more than one purpose, depending on the audience and context."
English,English,Years 11 and 12,Textual forms,Different text types.
English,English,Years 11 and 12,Text structures,"The manner in which information/ideas/events are organised in different texts. Examples of 
text structures include chapter headings, subheadings. overviews, introductory and concluding paragraphs, sequencing, topic sentences, taxonomies and chronology."
English,English,Years 11 and 12,Visuals,"A picture, photograph, film or other still or moving images used for particular effect."
English,English,Years 11 and 12,Vocabulary,Words that exist in language or for a particular subject.
English,English,Years 11 and 12,Voice,The unique or individual style of an author.
English,English,Years 11 and 12,Writing processes,"The steps engaged in by an author to develop their own writing. The process includes the 
pre-writing stage, that is, brainstorming and gathering ideas, drafting, revising, refining, editing and publishing."
