Subject,Band,SkillArea,ComponentText,Keywords
History,Foundation to Level 2,Continuity and Change,"By the end of Level 2, students identify continuity and change in personal, family and community life.","change,continuity,identify"
History,Foundation to Level 2,Knowledge and Understanding,"They describe significant aspects of personal and family life, and of an individual, a site or an event in their community.","describe,significance"
History,Foundation to Level 2,Knowledge and Understanding,They identify how changing technology has influenced the daily life of their families and close connections and in the wider community.,identify
History,Foundation to Level 2,Historical Questions,Students ask historical questions to investigate the past and sequence significant events in the past and in their lives in chronological order.,"ask,chronology,investigate,order,question,sequence,significance"
History,Foundation to Level 2,Using Historical Sources,Students identify the features and content of sources and the perspectives of people in the past and present.,"identify,perspectives,present,sources"
History,Foundation to Level 2,Continuity and Change,They identify continuities and changes in daily life by comparing the past and the present and identify the causes and consequences of those changes.,"causes,change,consequences,identify,present,sequence,use"
History,Foundation to Level 2,Knowledge and Understanding,"They identify significant individuals, events and places in their families and community.","identify,significance"
History,Foundation to Level 2,Communicating,"Students communicate an account of their lives, their family and close connections and community using historical terms and information from sources.","communicate,sources"
History,Levels 3 and 4,Continuity and Change,"By the end of Level 4, students describe continuity and change in their community and the significance of events, symbols and emblems in the celebration of Australia’s identity and diversity.","change,continuity,describe,significance"
History,Levels 3 and 4,Historical Perspectives,They describe the significant events and the experiences and perspectives of people in Australia between 1750 and 1800.,"describe,perspectives,significance"
History,Levels 3 and 4,Causes and Consequences,"They describe causes and consequences of early colonisation for Aboriginal and Torres Strait Islander Peoples, new arrivals and the environment.","causes,consequences,describe,sequence,use"
History,Levels 3 and 4,Historical Questions,Students ask a range of historical questions to identify evidence of the experiences of people in the past.,"ask,evidence,identify,question"
History,Levels 3 and 4,Chronology,They sequence events and life stories in chronological order to identify continuity and change in their community and in early colonial Australia.,"change,chronology,continuity,identify,order,sequence"
History,Levels 3 and 4,Using Historical Sources,They identify the features and contexts of different primary and secondary historical sources.,"identify,sources"
History,Levels 3 and 4,Historical Perspectives,Students describe the perspectives of people in the past and why historical interpretations differ.,"describe,interpret,interpretations,perspectives"
History,Levels 3 and 4,Continuity and Change,Students identify and describe continuity and change in the community and in the early colonisation of Australia.,"change,continuity,describe,identify"
History,Levels 3 and 4,Causes and Consequences,They describe the causes and consequences of changes in local communities and the early colonisation of Australia.,"causes,change,consequences,describe,sequence,use"
History,Levels 3 and 4,Knowledge and Understanding,"Students describe why events, symbols, emblems and the contributions of people from a range of backgrounds are significant to changes in communities and the early colonisation of Australia.","change,describe,significance"
History,Levels 3 and 4,Knowledge and Understanding,Students describe historical developments and events using historical terms and use evidence drawn from historical sources.,"describe,develop,evidence,sources,use"
History,Levels 5 and 6,Continuity and Change,"By the end of Level 6, students explain the causes and consequences of the establishment of British colonies in Australia during the 1800s and the contribution of significant individuals, events and ideas to continuity and change to Australian politics and society, including Federation and migration between 1900 and 2000.","causes,change,consequences,continuity,explain,sequence,significance,use"
History,Levels 5 and 6,Historical Questions,Students develop and ask questions to assist their investigation into continuity and change in Australian history between 1800 and 2000.,"ask,change,continuity,develop,question"
History,Levels 5 and 6,Chronology,"They organise events, developments and the lives of individuals in chronological order and use that information to create a narrative.","chronology,create,develop,order,use"
History,Levels 5 and 6,Using Historical Sources,"Students identify the features, content and context of primary and secondary historical sources and describe the value of evidence in sources for specific historical investigations.","describe,evidence,identify,sources"
History,Levels 5 and 6,Historical Perspectives,"They describe the perspectives, beliefs, values and attitudes of people and groups in Australia’s past using evidence from primary sources.","describe,evidence,perspectives,sources"
History,Levels 5 and 6,Historical Interpretations,Students recognise different historical interpretations and explain why they may vary.,"explain,interpret,interpretations,recognise"
History,Levels 5 and 6,Continuity and Change,Students identify and compare patterns of continuity and change in the events and the lives of Australians between 1800 and 2000.,"change,compare,continuity,identify,patterns"
History,Levels 5 and 6,Causes and Consequences,"They explain the causes and consequences of significant events, individuals and groups during the Australian colonial period and the 20th century.","causes,consequences,explain,sequence,significance,use"
History,Levels 5 and 6,Continuity and Change,"Students explain the significance of events, individuals and groups as factors contributing to continuity and change in Australia during the period of study.","change,continuity,explain,significance"
History,Levels 5 and 6,Analysis,They construct interpretations of Australian history between 1800 and 2000 using appropriate historical terms and evidence drawn from primary and secondary sources.,"construct,evidence,interpret,interpretations,sources"
History,Levels 7 and 8,Using Historical Sources,"By the end of Level 8, students can analyse different interpretations of the establishment of early societies, explain global patterns of continuity and change and the sources of historical evidence of the period.","analyse,change,continuity,evidence,explain,interpret,interpretations,patterns,sources"
History,Levels 7 and 8,Knowledge and Understanding,"They can describe the historical significance of the histories of Aboriginal and Torres Strait Islander Peoples’ histories and cultures, ancient societies of Europe, Africa or Asia, and societies leading to the modern world between 600 and 1750 CE.","describe,significance"
History,Levels 7 and 8,Historical Questions,"Students develop and apply historical questions to support the process of historical inquiry, when using historical concepts and sources across the range of historical contexts.","apply,develop,inquiry,question,sources"
History,Levels 7 and 8,Continuity and Change,"They order historical narratives of events, ideas and developments chronologically to explain varied patterns and forms of continuity and change and their causes and consequences.","causes,change,chronology,consequences,continuity,develop,explain,order,patterns,sequence,use"
History,Levels 7 and 8,Using Historical Sources,"Students explain the features, content and context of primary and secondary sources and apply historical questions when drawing inferences from sources.","apply,explain,question,sources"
History,Levels 7 and 8,Analysis,They interpret the information from historical sources by analysing and verifying their accuracy and value as historical evidence.,"evidence,interpret,sources,verify"
History,Levels 7 and 8,Using Historical Sources,"Students use primary and secondary sources to identify and explain the perspectives of individuals and groups and use these sources to understand the beliefs, values and attitudes of the individuals and societies studied.","explain,identify,perspectives,sources,use"
History,Levels 7 and 8,Historical Interpretations,Students recognise the contested nature of the histories of early and pre-modern societies and apply this knowledge to identify and analyse different historical interpretations and debates.,"analyse,apply,contested,identify,interpret,interpretations,recognise"
History,Levels 7 and 8,Continuity and Change,"Students recognise and explain varied patterns and forms of continuity and change in the societies they have studied and identify and explain the significant events, individuals, ideas and developments that contributed continuity and change.","change,continuity,develop,explain,identify,patterns,recognise,significance"
History,Levels 7 and 8,Historical Significance,"They establish and analyse historical significance using criteria to recognise and analyse the role and contributions of individuals, events, locations, developments and legacies of the societies they have studied.","analyse,develop,recognise,significance"
History,Levels 7 and 8,Analysis,"When constructing historical interpretations of the societies studied, students use historical concepts, terms, concepts, relevant knowledge, conventions and evidence obtained from their analysis of primary and secondary historical sources.","construct,evidence,interpret,interpretations,sources,use"
History,Levels 9 and 10,Knowledge and Understanding,"By the end of Level 10, students evaluate the significant events, developments and ideas that shaped the modern world, including histories of Australia, the world wars and the Holocaust, and Aboriginal and Torres Strait Islander Peoples’ rights and freedoms over the period between 1750 and the early 21st century.","develop,evaluate,significance"
History,Levels 9 and 10,Historical Questions,Students formulate and adapt historical questions to support the development of historical investigations and their use of historical sources and concepts to interpret the modern world.,"develop,formulate,interpret,question,sources,use"
History,Levels 9 and 10,Continuity and Change,"They organise historical narratives of events, ideas and developments in chronological order to explain varied patterns and forms of continuity and change and their causes and consequences.","causes,change,chronology,consequences,continuity,develop,explain,order,patterns,sequence,use"
History,Levels 9 and 10,Using Historical Sources,"Students analyse the key features of primary and secondary sources, their content and context, and apply historical questions when drawing inferences from them.","analyse,apply,question,sources"
History,Levels 9 and 10,Analysis,They evaluate historical sources by verifying and corroborating their accuracy and value as historical evidence.,"evaluate,evidence,sources,verify"
History,Levels 9 and 10,Using Historical Sources,"Students use historical sources to identify and analyse the perspectives of individuals and groups in the modern world and use these perspectives to understand the beliefs, values and attitudes of the individuals and societies studied.","analyse,identify,perspectives,sources,use"
History,Levels 9 and 10,Historical Interpretations,Students recognise the contested nature of history and apply this knowledge to identify and evaluate different historical interpretations and debates.,"apply,contested,evaluate,identify,interpret,interpretations,recognise"
History,Levels 9 and 10,Continuity and Change,"Students analyse varied patterns and forms of continuity and change and analyse the significant events, individuals, ideas and development that contributed to and resulted from them.","analyse,change,continuity,develop,patterns,significance"
History,Levels 9 and 10,Chronology,"They analyse short- and long-term causes and intended and unintended consequences of significant events, individuals, ideas and developments and their relationships to continuity and change.","analyse,causes,change,consequences,continuity,develop,sequence,significance,use"
History,Levels 9 and 10,Historical Questions,"They use criteria informed by historical questions to evaluate the historical significance events, ideas, individuals, groups, movements and developments of the modern world.","develop,evaluate,question,significance,use"
History,Levels 9 and 10,Analysis,"When constructing sustained historical interpretations, students use historical concepts, terms, relevant knowledge, conventions and evaluated evidence from a range of historical sources.","construct,evaluate,evidence,interpret,interpretations,sources,use"
